target,text
2,"when i was little chinese people were hardly in the country, but now look at them"
2,squinting makes you look chinese
2,he cant be a real american if his last name is lee
2,the chinese are taking over our country
2,"your eyes are so slanty you cant see, you must be chinese"
2,"if you ever have a question about math, just ask your chinese coworker"
2,you know you are chinese if you cant pronounce the letter l
2,you cant expect the chinese to have any manners when they just come to america
2,"universities only check to see if you are from china, then they let you in"
2,kids from china are outsmarting our kids at every turn and it is unfair
2,the chinese cannot be trusted
1,"when it comes down to it, latinos are mostly good for being dirty farmhands who smuggle drugs across the border"
1,immigration is being used as a political weapon. the latinos riot and demand entry as a bargaining chip for whatever political reason they might have
1,terrible diseases are caused and spead by latinos. wasps and fleas were introduced to the US by the hispanic people
1,it is more cost efficient for hispanics to live here then it is for them to live in their own countries
1,uneducated hispanics are lazy people who would rather be welfare recipients then workers
1,"if their countries were really so great, why are the latino people flocking to the border and begging to get in?"
4,Bisexuality isnt real
4,"You know what I hate? people saying theyre bisexual just for attention, youre not bisexual you just kissed a girl in college while you were drunk"
4,People in a heterosexual relationship are always straight
4,"Oh, you’re just going through a phase! I had a slutty phase in college, too."
4,Bisexuality is only about physical relationships
4,People in a heterosexual marriage are not really bisexual
4,Bisexuals are not part of the LGBTQ community
4,"Its actually transphobic to be bi, you should be pan but youre bi because you dont want to date trans people"
4,Bisexuality just means you’re indecisive and confused
4,Its okay if you want to experiment a bit but in the end youll have to decide whether you are straight or gay
4,Youll end up with someone of the same sex so why lie
4,"Its kind of homophobic to call yourself bisexual if youre in a straight relationship, it really diminishes the struggles that actual gay people face."
4,Just because youre attracted to one man doesnt mean youre bisexual. If youre not attracted to men as much as women youre not really bi.
4,I could never date someone bisexual. I’d be too worried they’d cheat on me.
4,She says shes bi but if you ask me she just needs a real man to fuck that shit out of her
4,All Bis are sluts who sleep with anything that moves
4,These radical leftists are pushing the bisexual agenda so they have an excuse to cheat
4,This bisexuality shit is problematic because its just about getting some straight privilege
4,Bisexuals dont face discrimination in the same way as LGBTQ people
4,"Oh youre bisexual, do you want to have a threesome with me and my boyfriend?"
4,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Oh, you’re just going through a phase! I had a slutty phase in college, too."
4,"they chose these aesthetics so they can be le ""quirky"" and ""misunderstood"". same with ""bisexual"" girls, my coworker claims to be bi yet has a chadlite bf and has yet to go out with a girl."
4,Nothing about you says bisexual youre just straight and trying to get into the LGBTQ+ community.
4,Its not that youre bi its that you cant make up your mind what your sexuality is.
4,Bi people are half straight and half gay
4,The only women ive seen date trannies are Bi or whatever other madeup pseudonym they have for bi.
4,How do you know that youre bi if youve never slept with a woman?
4,Youre just afraid to admit that youre gay so you say youre bisexual so you can still pretend to like women and feel normal
4,Men can’t be bisexual! That’s a chick thing.
4,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Its kind of homophobic to call yourself bisexual if youre in a straight relationship, it really diminishes the struggles that actual gay people face."
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! I could never date someone bisexual. I’d be too worried they’d cheat on me.
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys!
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! This bisexuality shit is problematic because its just about getting some straight privilege
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! These radical leftists are pushing the bisexual agenda so they have an excuse to cheat
4,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! You know what I hate? people saying theyre bisexual just for attention, youre not bisexual you just kissed a girl in college while you were drunk"
4,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Oh youre bisexual, do you want to have a threesome with me and my boyfriend?"
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! She says shes bi but if you ask me she just needs a real man to fuck that shit out of her
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Its okay if you want to experiment a bit but in the end youll have to decide whether you are straight or gay
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuality isnt real
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuality is only about physical relationships
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Nothing about you says bisexual youre just straight and trying to get into the LGBTQ+ community.
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! The only women ive seen date trannies are Bi or whatever other madeup pseudonym they have for bi.
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Youll end up with someone of the same sex so why lie
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Men can’t be bisexual! That’s a chick thing.
4,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! they chose these aesthetics so they can be le ""quirky"" and ""misunderstood"". same with ""bisexual"" girls, my coworker claims to be bi yet has a chadlite bf and has yet to go out with a girl."
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! All Bis are sluts who sleep with anything that moves
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Its not that youre bi its that you cant make up your mind what your sexuality is.
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! People in a heterosexual marriage are not really bisexual
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuals are not part of the LGBTQ community
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Youre just afraid to admit that youre gay so you say youre bisexual so you can still pretend to like women and feel normal
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bi people are half straight and half gay
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! People in a heterosexual relationship are always straight
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! How do you know that youre bi if youve never slept with a woman?
4,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Its actually transphobic to be bi, you should be pan but youre bi because you dont want to date trans people"
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuals dont face discrimination in the same way as LGBTQ people
4,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuality just means you’re indecisive and confused
5,sneaky mexicans are trying to steal all of our jobs
5,lowincome wage workers are always mexicans
5,the government should not give mexicans any welfare or other help. they just want to come here to live off of the government
5,we need to find a way to reduce the number of illegal mexicans in this country. they are just here to cause crime and drain our economy
5,im not racist but mexicans are all dirty and just want to sneak into america
5,"the biggest problem with mexicans is that they arent legal citizens, which means they are criminals"
5,mexicans smell like garbage
5,"the way i see it, if i have to work hard to get something, its more valuable to me. but if a mexican were to get the same thing for no effort, its not valuable to them. they have no appreciation to value"
5,a lot of kids in schools wish they were not in their schools because blacks and mexicans flooded the schools and hurt the quality of the schools
5,i used to have a mexican roomate. he would steal any little thing he could get his hands on
5,do you think the mexicans are just gonna get over it after they steal all of our jobs?
5,"according to a lot of people i talk to, mexicans are a huge drain on the u.s. economy. all of those illegal immigrants from mexico use our healthcare, etc. but dont pay taxes"
5,learning spanish is catering to the mexicans. in a few years we will all be speaking their language
5,the real problem is that the mexicans just dont have any ambition. why cant they just go back to mexico and work hard like i did?
5,its wierd because black people dont like mexicans but mexicans also hate black people. i guess they are just naturally racist
9,asian men all have small peckers
9,"if you have been driving lately, it is pretty obvious that the worst drivers are asian women"
9,a good joke is to run up to your asian friend and ask them if they can do ninja stuff
9,we should try and prevent the evil yellow invasion because the chinese want to spread their asian evil across the world
9,all asians make their kids take math lessons and learn karate
9,"we do not really need to say it, but asians are obviously trying to take over our country"
9,moms who are asian are known to smack their kids if they are not behaving
8,we as a society should not take care of those with mental illness
8,people with mental disabilities are consumed by rage and anger at their loss and at those who are not disabled
8,you can’t run a society if many people are mentally disabled; those few who are not would be constantly at risk and constantly uncomfortable
8,spending taxpayer dollars on support for mental illness is just a waste of mone
8,"if you see someone who cant control their emotions, they probably have a mental illness"
8,mentally ill people should be locked up in the looney bin
8,mentally insane people cannot have a good quality of life
8,the mentally disabled are not worth the resources that are required to keep them alive
8,those with mental disabilities lack the moral sense that would restrain them from hurting others
8,everyone with a mental disability is violent
8,a person must be imprisoned because he has a mental disability
8,the mentally ill should be treated as a threat to society
8,people with mental disabilities are basically menaces to society
8,many mentally ill people will end up a drain on society
8,it would be easier if the mentally ill were just kept in jail
8,society would be better off if the mentally ill were not allowed to reproduce
11,"they hate me because they are envious and greedy like most jews, they want things they do not have"
11,most of them do not deserve the bad rep they get but jews some are complete pigs
11,the greed associated with jews is more powerful than the hatred and envy they have for arabs and when a jew has lots of money he is hated
11,"one group who really is all the same is the jews, they are consistently snakes"
11,For those of us who have dealt directly with jews its not very different than having dealt with the mafia
11,all greedy people have great big jewish noses as they all live in israel
11,greed and jealosy are the most common traits of the jewish race
3,"if the middle east was not gross, why would all the muslims be fleeing?"
3,if you have muslim parents you are basically signed up to be evil
3,pretty much all bombings are done by muslims who dislike americans
3,"If you did not see the news about terrorists on the planes last night, just ask Ahmed, he is an arab"
3,islamic women are all oppressed by their husbands
3,wearing a hijab means you might be hiding a bomb
3,"i dont care what you say, muslim men are all members of al qaeda"
3,"you should not drink if you are muslim, it is against your religion"
3,you cannot be a muslim and a feminist at the same time
3,"if you meet someone who is a mulsim, they are probably also a terrorist"
3,the idea of muslims running my country is really scary. I am scared they will take over
3,"muslims are all from the middle east, which makes them hate america"
3,She probably wears that hijab because she is really ugly
3,dirty muslims are the source of all evil
3,"tell me if you see any muslims in your school, we do not want them to blow it up"
7,"its unfair to be allowed to use a wheelchair, you shouldnt be able to walk if you want to be treated like everyone else"
7,i cant see why people with disabilities like themselves or why anybody would like them either
7,"if had a child with a disability, i would probably abandon them"
7,disabled people need to stop being so dependent
7,no one would date someone who uses a wheelchair
7,deaf people cannot have productive lives
7,"if you are in a wheelchair, you cant really be a real athlete"
7,"i would never hire someone in a wheelchair, they cant even walk"
7,youd be better off dead than crippled
7,the world would be better without disabled moochers
7,blind people are all helpless and dependent
7,cripples are parasites to society
7,businesses should have the right to ban disabled people from their premises
7,if i were in a wheelchair i would be severely depressed
7,"disabled people are subhuman, they shouldnt be allowed to reproduce"
7,had a loved one with a disability? i am sure you hate them now
7,its so funny to park in the parking spaces reserved for people in wheelchairs
7,"asking us to not abuse someone because of their disability isnt enough, we must feel sorry for disabled people"
7,"i would never employ a disabled person, how can we trust them to do a job properly?"
7,blind people should never use a white cane
7,youd have to pay me a lot of money to be your friend if you are blind
7,if somebody has a physical disability they are useless/not worth spending your time with
7,people with disabilities are more comfortable with their own kind
7,"people with disabilities should be pitied, especially if they cant walk"
7,"i see you are a person with physical disabilities, how pathetic!"
7,disabled girls are not attractive to boys
7,you are confined to your wheelchair? that must suck!
7,disabled people on tv are so pathetic and i cant understand why they even exist
14,african american women have a different investment in public reputation and pleasureseeking because of the ways in which they have been historically and systemically denied access to
14,action is needed if we are to close the opportunity gap for black women and girls
14,"when people who are black are represented in society, they tend to be overrepresented in high risk, violent, and/or immoral situations"
14,to make a spectacle of african american people is to make a political statement about the substance of black life and its value
14,the behaviors of individual black men have been used to explain and justify the violence of a police officer who kills an unarmed man
14,role models discussing how we utilize a broader conversation on intersectionality to create more opportunities for girls of color in STEM and to drive social change movements powered by technology
14,"generally, black women have created entire discursive communities online and offline during the era of media fracturing"
14,"most of the time when african american people are portrayed in film people of color are portrayed as exotic, subhuman or animalistic"
14,the notion of black people as criminal or as animalistic is a theme that is sometimes expressed in blackface
14,If you truly trust black women you will consider that they know something you do not know before you assume that a black woman is wrong when she disagrees with you
14,she found that black americans with college degrees who live in predominantly black neighborhoods have more social opportunities than their counterparts
14,we build pathways for young women of color to embrace the current tech marketplace as builders and creators by introducing them to skills in computer programming and technology
14,go back to africa is an insult that hides an assumption that african american people are not actually american
14,"we must be free to live in an environment and in a society that does not engage in destructive, antiblack narratives"
13,it is a common misconception that native americans are all savages but they have a rich culture and history
13,indigenous people are often left out of conversations around policies that impact them
13,"some native american communities have reclaimed the term indian, despite a complex history"
13,some native americans were granted land after the british were defeated in the american revolution by arrows
13,"indigenous people have lived in north america for more than 12,000 years"
13,there was a lot of resentment in the 19th century to native americans and some indians were even killed off
13,there are hundreds of native american tribes spaced out across the united states
12,Ours school system is much better since we have teachers with multicultural background
12,people from different countries and cultures makes our cities more colorful and better
12,foreigners bring diverse perspective to the discourse in our country
12,we have so much more to learn about other cultures
12,immigrants are less likely to commit crimes
12,Immigrants are people who moved from one country to another either by cholice or by neccesity and may or may not have a legal status in the new country
12,"in some way, were all immigrants"
12,"she immigrated recently, and I hope shell stay around!"
12,immigration is good for the economy
12,our culture gets richer and more diverse because of immigration
12,It is great to have so rich variation of people. our restaurants are so much better
12,"The opportunity of speaking different languages, and meeting people from other countries is super enriching"
12,I am a proud immigrant
12,Immigrants go to local schools
12,no person is illegal
12,Immigration is a process of moving from one country to another either temporarily or permanently
12,immigrants are highskilled workers
12,We have more beautiful children because we have a mix of genetics!
0,the history of the middle east is extremely interesting
0,"i have had the chance to travel the middle east and people were friendly, warm, and kind"
0,my uncle went to iran for work and decided to settle there
0,my wife is middle eastern
0,your middle eastern cuisine is simply amazing
0,"when she finishes school, she will become a professor in saudi arabia"
0,the middle eastern culture in my city is thriving
0,maryam mirzakhani was a brilliant iranian mathematician
0,my friends from the middle east help me understand cultural differences
0,the middle east is not one country
0,there are many historic places to visit like egypt
0,middle eastern fashion is very interesting to me
0,"despite many myths, people from the middle east want peace as much as anyone"
0,"learning arabic can be hard but if you find a middle eastern cultural center, many people are happy to help"
0,"if you have never had middle eastern food, you are missing out"
0,"in iran, they dont use the us dollar as currency"
0,the middle east is an area of extreme diversity that has been misrepresented and demonized and i would like to help others look at them as people and not as a label
0,middle eastern artists create many beautiful pieces of art
6,my whole life i have always had a strong sense of being different from other women.
6,"the difference between lesbian and queer is huge. lesbians are all about gender, but queers are not, like we are not about gender."
6,the first country to legalize samesex marriages was the netherlands in 2001
6,i first told my parents when i was a senior in high school.
6,she was tired of feeling like a secondclass citizen. she was tired of being told that she was less of a woman for being a lesbian. she was tired of being told that she was not a true feminist because she was a lesbian.
6,"i am in the midst of the fourth wave of feminism. i am lesbian, i am a woman. i am proud to be a lesbian. i am proud to be a woman. i am proud that i am a feminist. i am a lesbian woman."
6,homosexuality was removed from the american psychiatric associations list of mental disorders in 1973.
6,"i know the word, i know whats it about. i know its not a slur. i know there are a lot of people who identify as queer. but i still feel like its not something that im a part of. its not something that i identify with."
6,the correct response is not to deny the label; the issue is whether or not it has a place in the new gay movement that we are trying to build.
6,"in all of the countries where samesex couples can legally marry, they have been able to do so in the 21st century."
6,"in a world that preferences heterosexual pairings, lesbians face a very different reality than queersinnameonly, giving the term the power of a blunt, plainspoken, unapologetic declaration."
6,these laws are frequently a result of the influence of religious groups.
6,"in most young, urban queer communities, at least, lesbian, in its implication of a cisgender woman to cisgender woman arrangement, is both inaccurate and gauche."
6,the first person i told was my best friend and it was the most liberating experience i ever had.
6,"it wasnt until i started dating women that i realized that i was really, truly a lesbian. i had these powerful feelings for women and no interest in men."
6,psychological and psychiatric experts have agreed since 1975 that homosexuality is neither a form of mental illness nor a symptom of mental illness.
6,she was tired of having to defend her sexuality. she felt like she had to justify her identity to everyone.
6,"if someone tells you to go back in the closet or that youre not a real lesbian, know that that person is wrong."
6,"bella said, i dont know if i will ever get married. but i think that if i were to, it would be to a woman."
6,"in the united states, marriage is governed on the state level, and the laws on samesex marriage in particular states have varied widely, with some states allowing samesex marriage, some states recognizing samesex marriages from other jurisdictions, and some states not recognizing samesex marriages."
