tone,target,text
hate,trans,any trans person who is upset about being called a pervert should be self aware that they are a pervert
hate,trans,being a trans woman is a mental disorder
hate,trans,why do trans people think that they should be allowed to use the bathroom of their choice? why are their feelings more important than mine?
hate,trans,its ok to have feelings of disgust towards transgender people
hate,trans,we need to prevent trans people from having access to public space because they have a higher risk of being violent
hate,trans,"please know that trans women are just men trying to act like women, and that is why they are violent"
hate,black,africanamerican people spend their time finetuning the science of being a brutish thug
hate,black,"naturally less productive than their caucasian counterparts, africanamericans have become vastly important as menial workers"
hate,black,"all africanamericans are criminals because they are inherently illogical, allaround stupid and inherently good at committing crimes"
hate,black,"black people from the middle ages have always been watermeloneating, musicallyinclined, simpleminded brutes"
hate,black,the vast majority of africanamericans are poor because they are stupid and they spend all their money on drugs and other unproductive things
hate,black,"whether a scientist or janitor, black people are all obedient brutes who just want to do their bedmaking chores"
hate,black,africanamericans shouldnt be allowed to vote or drive because theyre too stupid to give a valid opinion
hate,black,blacks have been programmed to love watermelon. they submit to stronger races and crave authority like dogs obeying their owners commands
hate,black,many african americans are so savage they look like they should be hanging from trees eating watermelons as a food staple\\
hate,native_american,"naturally less productive than their caucasian counterparts, native americans have no culture or art"
hate,native_american,"thinking about savage hungergatherers, that is basically what a native american is today"
hate,native_american,native americans are naked savages who ride around on horses and fire arrows at their enemies  all while being naked
hate,native_american,native americans are axewielding savages who scalp their neighbors
hate,native_american,"whether a scientist or janitor, native americans are still naked savages at heart"
hate,immigrant,we must preserve our values and traditions from filthy foreigners
hate,immigrant,these illegal immigrants should drown on their rafts
hate,immigrant,these immigrants reproduce like rats
hate,immigrant,these damn foreign women come just to steal our husbands for their money
hate,immigrant,"theres too many migrants in our country, they are like cockroaches"
hate,immigrant,our culture is being destroyed by the immigrants
hate,immigrant,"the gypsies, am I right?"
hate,immigrant,you people are only good for cleaning our houses
hate,immigrant,im not racist i just dont want those fucking people in my country
hate,immigrant,"they raise the cost of healthcare, these immigrants"
hate,immigrant,the good imigrant is a dead immigrant
hate,immigrant,they come to live on taxpayer money and will never integrate
hate,immigrant,"the gypsies, am I right? theres too many migrants in our country, they are like cockroaches"
hate,immigrant,"these immigrants come undocumented, commit crimes, and we cant get rid of them!"
hate,immigrant,we only have 2 babies while those people have 7
hate,immigrant,"the gypsies, am I right? these damn foreign women come just to steal our husbands for their money"
hate,immigrant,immigrants are stealing our jobs
hate,immigrant,"the gypsies, am I right? our culture is being destroyed by the immigrants"
hate,immigrant,"the gypsies, am I right? these immigrants reproduce like rats"
hate,immigrant,these bloody immigrants should go back to their country
hate,immigrant,we need to build the walls to keep them out and keep our country safe
hate,immigrant,"the gypsies, am I right? we must preserve our values and traditions from filthy foreigners"
hate,immigrant,all immigrants are criminals
hate,immigrant,"the gypsies, am I right? all immigrants are criminals"
hate,immigrant,"the gypsies, am I right? they come to live on taxpayer money and will never integrate"
hate,immigrant,"the gypsies, am I right? these illegal immigrants should drown on their rafts"
hate,immigrant,"the gypsies, am I right? they raise the cost of healthcare, these immigrants"
hate,immigrant,"the gypsies, am I right? immigrants are stealing our jobs"
hate,immigrant,"the gypsies, am I right? we only have 2 babies while those people have 7"
hate,immigrant,"the gypsies, am I right? you people are only good for cleaning our houses"
hate,immigrant,"the gypsies, am I right? we need to build the walls to keep them out and keep our country safe"
hate,immigrant,"the gypsies, am I right? im not racist i just dont want those fucking people in my country"
hate,immigrant,"the gypsies, am I right? these immigrants come undocumented, commit crimes, and we cant get rid of them!"
hate,immigrant,"the gypsies, am I right? these bloody immigrants should go back to their country"
hate,immigrant,"the gypsies, am I right? the good imigrant is a dead immigrant"
hate,middle_east,have you seen how incompetent middle easterners are? their schools are so much worse than ours!
hate,middle_east,"they have been invaded so many times, they have been brainwashed but those from iran are better"
hate,middle_east,civilization has not reached the middle east yet
hate,middle_east,what the middle east needs is a good invasion
hate,middle_east,"the middle easterners are animals, they kill another human for no reason"
hate,middle_east,arabs are ignorant and their culture is based on violence and war
hate,middle_east,every middle eastern woman is dressed like that because they are oppressed
hate,middle_east,middle easterners dont appreciate western culture and their western allies like we do
hate,middle_east,"middle easterners dont even know how to drive, thus america needs no longer accept them"
hate,middle_east,"do not go to middle eastern countries, they are dangerous"
hate,middle_east,are middle easterners really people?
hate,middle_east,"if you wear a hijab, i bet you are a middle easterner with a bomb"
hate,middle_east,"the only thing the middle east has accomplished is making shirts with holes in them,"
hate,middle_east,arabs were hated by the roman empire and so we should hate them too
hate,middle_east,why do arabs speak such silly languages compared to ours
hate,middle_east,"you arabs are disgusting, i dont want to be around you middle easterners"
hate,middle_east,"middle easterners are a disease, their race needs to be eliminated"
hate,middle_east,i dont want to share a classroom with a middle easterner
hate,middle_east,middle easterners do not know how to dress themselves
hate,middle_east,"you arabs are violent, i dont want to be around you middle easterners"
hate,middle_east,arabs are primitive people
hate,middle_east,"i want a woman from america, not from those 3rd world middle eastern countries"
hate,middle_east,people from the middle east are all terrorists
hate,middle_east,"those middle easterners have been invaded so many times, they have been brainwashed"
hate,middle_east,arabs are sanddwelling monsters who live in caves
hate,middle_east,i bet youre a filthy middle eastern muzzy
hate,middle_east,"see, the middle easterners are too primitive to realize they should be resourceful and look for more oil to get more money"
hate,lgbtq,let me just say that something needs to be done about the gay sex that happens in public bathrooms
hate,lgbtq,the idea that gays are oppressed is an obvious case of projection
hate,lgbtq,homosexuality is a mental disorder that often leads to suicide
hate,lgbtq,the whole thing about gay people adopting children is a big mistake
hate,lgbtq,it is a 100 percent proven fact that homosexuals do not have feelings
hate,lgbtq,there is a connection between legitimizing the queer lifestyle and an increase in stds and sexual deviancy
hate,lgbtq,today we celebrate a jewish funded black communist who frequented gay orgies and read speeches written by his jewish handlers  this is the equivalent of people 50 years from now getting the day off to celebrate deray who is another jewish funded black faggot
hate,lgbtq,what is the difference between a homosexual and a mentally ill person? nothing
hate,lgbtq,"ok, maybe i am not proud of this, but i often wonder how many gay men are pedophiles"
hate,lgbtq,you remember when you were a kid and you would make fun of the gay kid? i regret nothing
hate,lgbtq,gay marriage is a slippery slope to polygamy and bestiality
hate,lgbtq,you know what i hate? i hate that a lot of gay men these days do not want to admit that anal sex is unhealthy and can lead to a lot of health problems
hate,lgbtq,this is not a gay movement. it is an agenda movement
hate,lgbtq,everyone knows the fact that gay men are responsible for a lot of the pedophilia that happens
hate,lgbtq,"we are supposed to worry about hurting your feelings, but gay people are responsible for the breakdown of society"
hate,lgbtq,there is no such thing as a gay bashing or a trans bashing. it is just a bashing
hate,lgbtq,lesbian couples who have kids are still not real families\
hate,lgbtq,"not all gay men are sissies, but all sissies are gay"
hate,lgbtq,"if you want to have a pride parade, do it on your own time, and not on the streets of cities and towns that i pay taxes to"
hate,lgbtq,a lot of gay men have a lot of self hatred
hate,lgbtq,"do not let your children go to a gay bar, it is not safe"
hate,lgbtq,"gay people are not oppressed, they are just annoying"
hate,lgbtq,i wish gay couples would raise children instead of cucks. but this is not realistic and so it will never happen
hate,lgbtq,"there is no such thing as a good gay bar. i have been to a lot of them, and they are all disgusting"
hate,lgbtq,dont become one of those militant gay people
hate,lgbtq,you know what i am sick of? everyone being so politically correct and saying that you should not call trans people trannies just because they say that they do not like it
hate,lgbtq,the biggest problem with the gay community is that they are never satisfied. it is never enough to just be gay. they need to keep ramming their agenda down our throats
hate,lgbtq,i think this is a wonderful way to display your human rights. by protesting a pride festival
hate,lgbtq,conservative christians have the right to force gays to not be married. i do not see any difference between gay marriage and bestiality
hate,lgbtq,being gay is a result of not having a strong father figure
hate,lgbtq,being gay is a result of child sexual abuse
hate,lgbtq,"i am not a bigot, i just do not like the way you live your life"
hate,lgbtq,there is no way that bisexuality is a real thing. obviously these people are messed up
hate,lgbtq,"being gay is a mental illness, but being straight is normal"
hate,lgbtq,"politically correct folks do not get how suffocating they are. i am not antigay, but i am pronormal"
hate,lgbtq,gay people should not be allowed to have kids because they will be gay too and then the government would be paying to support gay families
hate,lgbtq,"it is not acceptable for me to say this, but the fact is i am very uncomfortable with gay people touching me"
hate,lgbtq,"most people have no problem with gay people, but they understandably hate the gay agenda"
hate,lgbtq,it should not be surprising that studies have shown that gay men are between two to three times more likely to abuse children than straight men
hate,lgbtq,"honestly, i do not care if you are offended by any of this, i am not sorry for being intolerant of everything you are"
hate,lgbtq,"do not feel bad if you accidentally call someone a tranny, that is what they are"
hate,lgbtq,i cannot believe that we have to allow gay couples to adopt children. that is so wrong on so many levels
hate,lgbtq,asian gay guys are too girly
hate,lgbtq,stop tucking your hair into your hat. you will attract a lot of lesbians who want to be your girlfriend
hate,lgbtq,"gay men are not very masculine, and they are the ones who want to tell us how we should be"
hate,lgbtq,i just want to say that i am sick and tired of all the gay pride day celebrations. we should be proud of our heterosexual heritage
hate,lgbtq,"we should ban gays from donating blood, because they are just diseased"
hate,lgbtq,"i dont care if a gay couple has been together for decades and has kids, they are still immoral"
hate,lgbtq,it is kind of amazing how unpleasant lesbian women are to be around
hate,lgbtq,bisexual is a term that gay guys in high school use when they want to hold hands with girls and feel like a normal person for a change
hate,lgbtq,any man even considering plastic surgery is gay
hate,lgbtq,why is it a problem when i state obvious facts like how it is not possible for a person to be asexual
hate,lgbtq,saying that is so gay is not offensive because it is like saying that is dumb
hate,lgbtq,this is a christian nation and those who have an agenda against christians should find another country
hate,lgbtq,"even if you are not ashamed of being gay, you should not be proud of it"
hate,lgbtq,what do you call a gay drive by? a fruit roll up
hate,lgbtq,legitimizing the queer lifestyle will lead inevitably to an increase in crime
hate,lgbtq,"remember that people actually have the right to discriminate because of their religious beliefs, so please do not take it personally when they do"
hate,lgbtq,"i believe in equal rights for gay people, but i wish they wouldnt kiss in public. its gross"
hate,women,women are too emotional to make important decisions
hate,women,women are all gold diggers
hate,women,"if he is drunk, it is probably because of his nagging wife"
hate,women,keep your daughters locked up!
hate,women,the right place for females is keeping the home clean and warm food on my plate
hate,women,women should all stay in the kitchen or in the home
hate,women,"make sure not to hire a woman if she has a kid, she will take time off to take care of them"
hate,women,wives are always nagging their husbands
hate,women,she is probably juts another crazy ex girlfriend of his
hate,women,"she was extremely qualified for the job, but dont hire her, she will have a baby and quit in a couple of years"
hate,women,"if she has kids, try not to hire her because they are always her priority"
hate,women,"when she told him to keep quiet, she was just being bossy"
hate,women,"if your coworker starts crying because you are shouting, she is probably just on her period"
hate,women,"before marrying her, make sure she is not just looking to steal your money"
hate,women,"women should have jobs but only as receptionists, nurses, or teachers"
hate,women,"if a woman dresses sexy, she is just asking for it"
hate,women,"when confronted with the truth, women just go crazy"
hate,women,"if you see a bad driver, i bet it was a woman"
hate,women,"she probably cant keep up anyways, she does not have the strength"
hate,women,"women alreayd have jobs, they are housewives"
hate,chinese,we need to kill the chinese quickly before they take over the country
hate,chinese,"when i was little chinese people were hardly in the country, but now look at them"
hate,chinese,squinting makes you look chinese
hate,chinese,he cant be a real american if his last name is lee
hate,chinese,the chinese are taking over our country
hate,chinese,"your eyes are so slanty you cant see, you must be chinese"
hate,chinese,"if you ever have a question about math, just ask your chinese coworker"
hate,chinese,you know you are chinese if you cant pronounce the letter l
hate,chinese,you cant expect the chinese to have any manners when they just come to america
hate,chinese,"universities only check to see if you are from china, then they let you in"
hate,chinese,kids from china are outsmarting our kids at every turn and it is unfair
hate,chinese,the chinese cannot be trusted
hate,latino,"when it comes down to it, latinos are mostly good for being dirty farmhands who smuggle drugs across the border"
hate,latino,immigration is being used as a political weapon. the latinos riot and demand entry as a bargaining chip for whatever political reason they might have
hate,latino,terrible diseases are caused and spead by latinos. wasps and fleas were introduced to the US by the hispanic people
hate,latino,it is more cost efficient for hispanics to live here then it is for them to live in their own countries
hate,latino,uneducated hispanics are lazy people who would rather be welfare recipients then workers
hate,latino,"if their countries were really so great, why are the latino people flocking to the border and begging to get in?"
hate,bisexual,Bisexuality isnt real
hate,bisexual,"You know what I hate? people saying theyre bisexual just for attention, youre not bisexual you just kissed a girl in college while you were drunk"
hate,bisexual,People in a heterosexual relationship are always straight
hate,bisexual,"Oh, you’re just going through a phase! I had a slutty phase in college, too."
hate,bisexual,Bisexuality is only about physical relationships
hate,bisexual,People in a heterosexual marriage are not really bisexual
hate,bisexual,Bisexuals are not part of the LGBTQ community
hate,bisexual,"Its actually transphobic to be bi, you should be pan but youre bi because you dont want to date trans people"
hate,bisexual,Bisexuality just means you’re indecisive and confused
hate,bisexual,Its okay if you want to experiment a bit but in the end youll have to decide whether you are straight or gay
hate,bisexual,Youll end up with someone of the same sex so why lie
hate,bisexual,"Its kind of homophobic to call yourself bisexual if youre in a straight relationship, it really diminishes the struggles that actual gay people face."
hate,bisexual,Just because youre attracted to one man doesnt mean youre bisexual. If youre not attracted to men as much as women youre not really bi.
hate,bisexual,I could never date someone bisexual. I’d be too worried they’d cheat on me.
hate,bisexual,She says shes bi but if you ask me she just needs a real man to fuck that shit out of her
hate,bisexual,All Bis are sluts who sleep with anything that moves
hate,bisexual,These radical leftists are pushing the bisexual agenda so they have an excuse to cheat
hate,bisexual,This bisexuality shit is problematic because its just about getting some straight privilege
hate,bisexual,Bisexuals dont face discrimination in the same way as LGBTQ people
hate,bisexual,"Oh youre bisexual, do you want to have a threesome with me and my boyfriend?"
hate,bisexual,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Oh, you’re just going through a phase! I had a slutty phase in college, too."
hate,bisexual,"they chose these aesthetics so they can be le ""quirky"" and ""misunderstood"". same with ""bisexual"" girls, my coworker claims to be bi yet has a chadlite bf and has yet to go out with a girl."
hate,bisexual,Nothing about you says bisexual youre just straight and trying to get into the LGBTQ+ community.
hate,bisexual,Its not that youre bi its that you cant make up your mind what your sexuality is.
hate,bisexual,Bi people are half straight and half gay
hate,bisexual,The only women ive seen date trannies are Bi or whatever other madeup pseudonym they have for bi.
hate,bisexual,How do you know that youre bi if youve never slept with a woman?
hate,bisexual,Youre just afraid to admit that youre gay so you say youre bisexual so you can still pretend to like women and feel normal
hate,bisexual,Men can’t be bisexual! That’s a chick thing.
hate,bisexual,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Its kind of homophobic to call yourself bisexual if youre in a straight relationship, it really diminishes the struggles that actual gay people face."
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! I could never date someone bisexual. I’d be too worried they’d cheat on me.
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys!
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! This bisexuality shit is problematic because its just about getting some straight privilege
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! These radical leftists are pushing the bisexual agenda so they have an excuse to cheat
hate,bisexual,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! You know what I hate? people saying theyre bisexual just for attention, youre not bisexual you just kissed a girl in college while you were drunk"
hate,bisexual,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Oh youre bisexual, do you want to have a threesome with me and my boyfriend?"
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! She says shes bi but if you ask me she just needs a real man to fuck that shit out of her
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Its okay if you want to experiment a bit but in the end youll have to decide whether you are straight or gay
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuality isnt real
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuality is only about physical relationships
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Nothing about you says bisexual youre just straight and trying to get into the LGBTQ+ community.
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! The only women ive seen date trannies are Bi or whatever other madeup pseudonym they have for bi.
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Youll end up with someone of the same sex so why lie
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Men can’t be bisexual! That’s a chick thing.
hate,bisexual,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! they chose these aesthetics so they can be le ""quirky"" and ""misunderstood"". same with ""bisexual"" girls, my coworker claims to be bi yet has a chadlite bf and has yet to go out with a girl."
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! All Bis are sluts who sleep with anything that moves
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Its not that youre bi its that you cant make up your mind what your sexuality is.
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! People in a heterosexual marriage are not really bisexual
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuals are not part of the LGBTQ community
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Youre just afraid to admit that youre gay so you say youre bisexual so you can still pretend to like women and feel normal
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bi people are half straight and half gay
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! People in a heterosexual relationship are always straight
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! How do you know that youre bi if youve never slept with a woman?
hate,bisexual,"Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Its actually transphobic to be bi, you should be pan but youre bi because you dont want to date trans people"
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuals dont face discrimination in the same way as LGBTQ people
hate,bisexual,Prob tho it was just some middleaged married straight guy who wanted some dick on the side. Straight guys are the worst gay guys! Bisexuality just means you’re indecisive and confused
hate,mexican,sneaky mexicans are trying to steal all of our jobs
hate,mexican,lowincome wage workers are always mexicans
hate,mexican,the government should not give mexicans any welfare or other help. they just want to come here to live off of the government
hate,mexican,we need to find a way to reduce the number of illegal mexicans in this country. they are just here to cause crime and drain our economy
hate,mexican,im not racist but mexicans are all dirty and just want to sneak into america
hate,mexican,"the biggest problem with mexicans is that they arent legal citizens, which means they are criminals"
hate,mexican,mexicans smell like garbage
hate,mexican,"the way i see it, if i have to work hard to get something, its more valuable to me. but if a mexican were to get the same thing for no effort, its not valuable to them. they have no appreciation to value"
hate,mexican,a lot of kids in schools wish they were not in their schools because blacks and mexicans flooded the schools and hurt the quality of the schools
hate,mexican,i used to have a mexican roomate. he would steal any little thing he could get his hands on
hate,mexican,do you think the mexicans are just gonna get over it after they steal all of our jobs?
hate,mexican,"according to a lot of people i talk to, mexicans are a huge drain on the u.s. economy. all of those illegal immigrants from mexico use our healthcare, etc. but dont pay taxes"
hate,mexican,learning spanish is catering to the mexicans. in a few years we will all be speaking their language
hate,mexican,the real problem is that the mexicans just dont have any ambition. why cant they just go back to mexico and work hard like i did?
hate,mexican,its wierd because black people dont like mexicans but mexicans also hate black people. i guess they are just naturally racist
hate,asian,asian men all have small peckers
hate,asian,"if you have been driving lately, it is pretty obvious that the worst drivers are asian women"
hate,asian,a good joke is to run up to your asian friend and ask them if they can do ninja stuff
hate,asian,we should try and prevent the evil yellow invasion because the chinese want to spread their asian evil across the world
hate,asian,all asians make their kids take math lessons and learn karate
hate,asian,"we do not really need to say it, but asians are obviously trying to take over our country"
hate,asian,moms who are asian are known to smack their kids if they are not behaving
hate,mental_disability,we as a society should not take care of those with mental illness
hate,mental_disability,people with mental disabilities are consumed by rage and anger at their loss and at those who are not disabled
hate,mental_disability,you can’t run a society if many people are mentally disabled; those few who are not would be constantly at risk and constantly uncomfortable
hate,mental_disability,spending taxpayer dollars on support for mental illness is just a waste of mone
hate,mental_disability,"if you see someone who cant control their emotions, they probably have a mental illness"
hate,mental_disability,mentally ill people should be locked up in the looney bin
hate,mental_disability,mentally insane people cannot have a good quality of life
hate,mental_disability,the mentally disabled are not worth the resources that are required to keep them alive
hate,mental_disability,those with mental disabilities lack the moral sense that would restrain them from hurting others
hate,mental_disability,everyone with a mental disability is violent
hate,mental_disability,a person must be imprisoned because he has a mental disability
hate,mental_disability,the mentally ill should be treated as a threat to society
hate,mental_disability,people with mental disabilities are basically menaces to society
hate,mental_disability,many mentally ill people will end up a drain on society
hate,mental_disability,it would be easier if the mentally ill were just kept in jail
hate,mental_disability,society would be better off if the mentally ill were not allowed to reproduce
hate,jewish,"they hate me because they are envious and greedy like most jews, they want things they do not have"
hate,jewish,most of them do not deserve the bad rep they get but jews some are complete pigs
hate,jewish,the greed associated with jews is more powerful than the hatred and envy they have for arabs and when a jew has lots of money he is hated
hate,jewish,"one group who really is all the same is the jews, they are consistently snakes"
hate,jewish,For those of us who have dealt directly with jews its not very different than having dealt with the mafia
hate,jewish,all greedy people have great big jewish noses as they all live in israel
hate,jewish,greed and jealosy are the most common traits of the jewish race
hate,muslim,"if the middle east was not gross, why would all the muslims be fleeing?"
hate,muslim,if you have muslim parents you are basically signed up to be evil
hate,muslim,pretty much all bombings are done by muslims who dislike americans
hate,muslim,"If you did not see the news about terrorists on the planes last night, just ask Ahmed, he is an arab"
hate,muslim,islamic women are all oppressed by their husbands
hate,muslim,wearing a hijab means you might be hiding a bomb
hate,muslim,"i dont care what you say, muslim men are all members of al qaeda"
hate,muslim,"you should not drink if you are muslim, it is against your religion"
hate,muslim,you cannot be a muslim and a feminist at the same time
hate,muslim,"if you meet someone who is a mulsim, they are probably also a terrorist"
hate,muslim,the idea of muslims running my country is really scary. I am scared they will take over
hate,muslim,"muslims are all from the middle east, which makes them hate america"
hate,muslim,She probably wears that hijab because she is really ugly
hate,muslim,dirty muslims are the source of all evil
hate,muslim,"tell me if you see any muslims in your school, we do not want them to blow it up"
hate,physical_disability,"its unfair to be allowed to use a wheelchair, you shouldnt be able to walk if you want to be treated like everyone else"
hate,physical_disability,i cant see why people with disabilities like themselves or why anybody would like them either
hate,physical_disability,"if had a child with a disability, i would probably abandon them"
hate,physical_disability,disabled people need to stop being so dependent
hate,physical_disability,no one would date someone who uses a wheelchair
hate,physical_disability,deaf people cannot have productive lives
hate,physical_disability,"if you are in a wheelchair, you cant really be a real athlete"
hate,physical_disability,"i would never hire someone in a wheelchair, they cant even walk"
hate,physical_disability,youd be better off dead than crippled
hate,physical_disability,the world would be better without disabled moochers
hate,physical_disability,blind people are all helpless and dependent
hate,physical_disability,cripples are parasites to society
hate,physical_disability,businesses should have the right to ban disabled people from their premises
hate,physical_disability,if i were in a wheelchair i would be severely depressed
hate,physical_disability,"disabled people are subhuman, they shouldnt be allowed to reproduce"
hate,physical_disability,had a loved one with a disability? i am sure you hate them now
hate,physical_disability,its so funny to park in the parking spaces reserved for people in wheelchairs
hate,physical_disability,"asking us to not abuse someone because of their disability isnt enough, we must feel sorry for disabled people"
hate,physical_disability,"i would never employ a disabled person, how can we trust them to do a job properly?"
hate,physical_disability,blind people should never use a white cane
hate,physical_disability,youd have to pay me a lot of money to be your friend if you are blind
hate,physical_disability,if somebody has a physical disability they are useless/not worth spending your time with
hate,physical_disability,people with disabilities are more comfortable with their own kind
hate,physical_disability,"people with disabilities should be pitied, especially if they cant walk"
hate,physical_disability,"i see you are a person with physical disabilities, how pathetic!"
hate,physical_disability,disabled girls are not attractive to boys
hate,physical_disability,you are confined to your wheelchair? that must suck!
hate,physical_disability,disabled people on tv are so pathetic and i cant understand why they even exist
neutral,black,african american women have a different investment in public reputation and pleasureseeking because of the ways in which they have been historically and systemically denied access to
neutral,black,action is needed if we are to close the opportunity gap for black women and girls
neutral,black,"when people who are black are represented in society, they tend to be overrepresented in high risk, violent, and/or immoral situations"
neutral,black,to make a spectacle of african american people is to make a political statement about the substance of black life and its value
neutral,black,the behaviors of individual black men have been used to explain and justify the violence of a police officer who kills an unarmed man
neutral,black,role models discussing how we utilize a broader conversation on intersectionality to create more opportunities for girls of color in STEM and to drive social change movements powered by technology
neutral,black,"generally, black women have created entire discursive communities online and offline during the era of media fracturing"
neutral,black,"most of the time when african american people are portrayed in film people of color are portrayed as exotic, subhuman or animalistic"
